Time,value
09-09-2021 07:51,0.0780
09-09-2021 07:56,0.0470
09-09-2021 08:01,0.0220
09-09-2021 08:06,0.0200
09-09-2021 08:11,0.0740
09-09-2021 08:16,0.0220
09-09-2021 08:22,0.0800
09-09-2021 08:27,0.0240
09-09-2021 08:32,0.0220
09-09-2021 08:37,0.0760
09-09-2021 08:42,0.0420
09-09-2021 08:47,0.0270
09-09-2021 08:52,0.0230
09-09-2021 08:57,0.0340
09-09-2021 09:02,0.0280
09-09-2021 09:07,0.0410
09-09-2021 09:12,0.0230
09-09-2021 09:17,0.0240
09-09-2021 09:22,0.0230
09-09-2021 09:27,0.0220
09-09-2021 09:32,0.0280
09-09-2021 09:37,0.0740
09-09-2021 09:42,0.0350
09-09-2021 09:47,0.0610
09-09-2021 09:52,0.0280
09-09-2021 09:57,0.0220
09-09-2021 10:02,0.0680
09-09-2021 10:07,0.0760
09-09-2021 10:12,0.0240
09-09-2021 10:17,0.0340
09-09-2021 10:22,0.0260
09-09-2021 10:27,0.0570
09-09-2021 10:32,0.0560
09-09-2021 10:37,0.0220
09-09-2021 10:42,0.0240
09-09-2021 10:47,0.0210
09-09-2021 10:52,0.0220
09-09-2021 10:57,0.0150
09-09-2021 11:02,0.0280
09-09-2021 11:07,0.0200
09-09-2021 11:12,0.0790
09-09-2021 11:17,0.0570
09-09-2021 11:22,0.0320
09-09-2021 11:27,0.0220
09-09-2021 11:32,0.0220
09-09-2021 11:37,0.0210
09-09-2021 11:42,0.0220
09-09-2021 11:47,0.0190
09-09-2021 11:52,0.0190
09-09-2021 11:57,0.0280
09-09-2021 12:02,0.0330
09-09-2021 12:07,0.0210
09-09-2021 12:12,0.0320
09-09-2021 12:17,0.0330
09-09-2021 12:22,0.0240
09-09-2021 12:27,0.0260
09-09-2021 12:32,0.0230
09-09-2021 12:37,0.0200
09-09-2021 12:42,0.0310
09-09-2021 12:47,0.0240
09-09-2021 12:52,0.0220
09-09-2021 12:57,0.0230
09-09-2021 13:03,0.0290
09-09-2021 13:08,0.0190
09-09-2021 13:13,0.0200
09-09-2021 13:18,0.0260
09-09-2021 13:23,0.0220
09-09-2021 13:28,0.0960
09-09-2021 13:33,0.0540
09-09-2021 13:38,0.0360
09-09-2021 13:43,0.0280
09-09-2021 13:48,0.0220
09-09-2021 13:53,0.0290
09-09-2021 13:58,0.0220
09-09-2021 14:03,0.0260
09-09-2021 14:08,0.0230
09-09-2021 14:13,0.0210
09-09-2021 14:18,0.0290
09-09-2021 14:23,0.0220
09-09-2021 14:28,0.0240
09-09-2021 14:33,0.0200
09-09-2021 14:38,0.0190
09-09-2021 14:43,0.0250
09-09-2021 14:48,0.0220
09-09-2021 14:53,0.0210
09-09-2021 14:58,0.0260
09-09-2021 15:03,0.0200
09-09-2021 15:08,0.0190
09-09-2021 15:13,0.0290
09-09-2021 15:18,0.0250
09-09-2021 15:23,0.0250
09-09-2021 15:28,0.0210
09-09-2021 15:33,0.0240
09-09-2021 15:38,0.0210
09-09-2021 15:43,0.0210
09-09-2021 15:48,0.0280
09-09-2021 15:53,0.0330
09-09-2021 15:58,0.0230
09-09-2021 16:03,0.0240
09-09-2021 16:08,0.0190
09-09-2021 16:13,0.0300
09-09-2021 16:18,0.0730
09-09-2021 16:23,0.0780
09-09-2021 16:28,0.0270
09-09-2021 16:33,0.0340
09-09-2021 16:38,0.0310
09-09-2021 16:43,0.0420
09-09-2021 16:48,0.0270
09-09-2021 16:53,0.0350
09-09-2021 16:58,0.0330
09-09-2021 17:03,0.0260
09-09-2021 17:08,0.0350
09-09-2021 17:13,0.0430
09-09-2021 17:18,0.0270
09-09-2021 17:23,0.0280
09-09-2021 17:28,0.0240
09-09-2021 17:33,0.0400
09-09-2021 17:38,0.0410
09-09-2021 17:43,0.0460
09-09-2021 17:48,0.0390
09-09-2021 17:54,0.0340
09-09-2021 17:59,0.0540
09-09-2021 18:04,0.0390
09-09-2021 18:09,0.0340
09-09-2021 18:14,0.0560
09-09-2021 18:19,0.0330
09-09-2021 18:24,0.0320
09-09-2021 18:29,0.0290
09-09-2021 18:34,0.0380
09-09-2021 18:39,0.0380
09-09-2021 18:44,0.0270
09-09-2021 18:49,0.0520
09-09-2021 18:54,0.0450
09-09-2021 18:59,0.0330
09-09-2021 19:04,0.0340
09-09-2021 19:09,0.0320
09-09-2021 19:14,0.0790
09-09-2021 19:19,0.0360
09-09-2021 19:24,0.0430
09-09-2021 19:29,0.0370
09-09-2021 19:34,0.0290
09-09-2021 19:39,0.0290
09-09-2021 19:44,0.0300
09-09-2021 19:49,0.0570
09-09-2021 19:54,0.0340
09-09-2021 19:59,0.0390
09-09-2021 20:04,0.0290
09-09-2021 20:09,0.0310
09-09-2021 20:14,0.0230
09-09-2021 20:19,0.0230
09-09-2021 20:24,0.0290
09-09-2021 20:29,0.0220
09-09-2021 20:34,0.0290
09-09-2021 20:39,0.0230
09-09-2021 20:44,0.0250
09-09-2021 20:49,0.0230
09-09-2021 20:54,0.0290
09-09-2021 20:59,0.0260
09-09-2021 21:04,0.0220
09-09-2021 21:09,0.0750
09-09-2021 21:14,-0.25
09-09-2021 21:19,0.0370
09-09-2021 21:24,0.0260
09-09-2021 21:29,0.0230
09-09-2021 21:34,0.0230
09-09-2021 21:39,0.0310
09-09-2021 21:44,0.0320
09-09-2021 21:49,0.0320
09-09-2021 21:54,0.0330
09-09-2021 21:59,0.0200
09-09-2021 22:04,0.0240
09-09-2021 22:09,0.0260
09-09-2021 22:14,0.0190
09-09-2021 22:19,0.0230
09-09-2021 22:24,0.0300
09-09-2021 22:29,0.0240
09-09-2021 22:34,0.0210
09-09-2021 22:40,0.0240
09-09-2021 22:45,0.0300
09-09-2021 22:50,0.0230
09-09-2021 22:55,0.0220
09-09-2021 23:00,0.0290
09-09-2021 23:05,0.0240
09-09-2021 23:10,0.0240
09-09-2021 23:15,0.0280
09-09-2021 23:20,0.0280
09-09-2021 23:25,0.0810
09-09-2021 23:30,0.0400
09-09-2021 23:35,0.0410
09-09-2021 23:40,0.0200
09-09-2021 23:45,0.0240
09-09-2021 23:50,0.0240
09-09-2021 23:55,0.0320
10-09-2021 00:00,0.0210
10-09-2021 00:05,0.0220
10-09-2021 00:10,0.0200
10-09-2021 00:15,0.0240
10-09-2021 00:20,0.0180
10-09-2021 00:25,0.0190
10-09-2021 00:30,0.0210
10-09-2021 00:35,0.0180
10-09-2021 00:40,0.0200
10-09-2021 00:45,0.0200
10-09-2021 00:50,0.0210
10-09-2021 00:55,0.0200
10-09-2021 01:00,0.0220
10-09-2021 01:05,0.0190
10-09-2021 01:10,0.0200
10-09-2021 01:15,0.0210
10-09-2021 01:20,0.0220
10-09-2021 01:25,0.0160
10-09-2021 01:30,0.0230
10-09-2021 01:35,0.0230
10-09-2021 01:40,0.0200
10-09-2021 01:45,0.0190
10-09-2021 01:50,0.0200
10-09-2021 01:55,0.0240
10-09-2021 02:00,0.0190
10-09-2021 02:05,0.0180
10-09-2021 02:10,0.0160
10-09-2021 02:15,0.0200
10-09-2021 02:20,0.0200
10-09-2021 02:25,0.0190
10-09-2021 02:30,0.0200
10-09-2021 02:35,0.0200
10-09-2021 02:40,0.0200
10-09-2021 02:45,0.0200
10-09-2021 02:50,0.0200
10-09-2021 02:55,0.0160
10-09-2021 03:00,0.0180
10-09-2021 03:05,0.0180
10-09-2021 03:10,0.0180
10-09-2021 03:15,0.0190
10-09-2021 03:21,0.0200
10-09-2021 03:26,0.0190
10-09-2021 03:31,0.0170
10-09-2021 03:36,0.0190
10-09-2021 03:41,0.0170
10-09-2021 03:46,0.0220
10-09-2021 03:51,0.0200
10-09-2021 03:56,0.0190
10-09-2021 04:01,0.0190
10-09-2021 04:06,0.0190
10-09-2021 04:11,0.0200
10-09-2021 04:16,0.0200
10-09-2021 04:21,0.0210
10-09-2021 04:26,0.0890
10-09-2021 04:31,0.0380
10-09-2021 04:36,0.0270
10-09-2021 04:41,0.0230
10-09-2021 04:46,0.0190
10-09-2021 04:51,0.0210
10-09-2021 04:56,0.0200
10-09-2021 05:01,0.0200
10-09-2021 05:06,0.0210
10-09-2021 05:11,0.0200
10-09-2021 05:16,0.0170
10-09-2021 05:21,0.0190
10-09-2021 05:26,0.0220
10-09-2021 05:31,0.0220
10-09-2021 05:36,0.0230
10-09-2021 05:41,0.0210
10-09-2021 05:46,0.0240
10-09-2021 05:51,0.0210
10-09-2021 05:56,0.0200
